RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29
102001,0,United States,country,,1222.8126117105548,1229.429362415093,1238.357997379186,1248.1248412216416,1257.7191445101225,1266.055532720273,1272.1022229584983,1275.7817045707968,1277.472029105508,1277.966964079516,1278.2881187262471,1278.8403057276084,1282.0115536364076,1287.190384418619,1293.7344077178639,1303.2907554087285,1312.582372421019,1321.4661816886696,1324.644097845449,1325.9057479152632,1325.1240760041956,1322.304690905371,1319.8695752283245,1317.5552023622433,1324.2252822421835,1332.7533704645193,1345.4744316752506,1354.019529563905,1363.2144730448188,1370.3278962848738,1375.1605377898168,1376.8348246321414,1377.238035053876,1375.8700653146807,1375.867213080738,1376.8691059544096,1381.8721332697933,1389.5268527068258,1399.4440239738765,1409.4796432510843,1418.0019151936035,1425.6278603237845,1431.0072557371243,1434.2686932769705,1433.9403514134838,1433.2598771745345,1433.8261731336468,1436.051056527365,1440.66290465476,1447.2639101663497,1457.4531799981198,1467.6190972942588,1477.4163972196013,1485.648907188055,1491.6806900478514,1495.084954501538,1495.3430456694648,1494.305421906921,1493.4424071943524,1494.5766963448066,1499.7864800500495,1508.109811532376,1516.3701353330432,1516.67780173132,1515.2588902173336,1515.1597631609513,1520.0101313403939,1521.4882662106536,1519.4820683719245,1517.6881880152387,1518.6309682484798,1520.94579488817,1526.7298139659833,1535.5103653539854,1550.7381205615509,1571.5123834789426,1598.6359017887,1629.4446921798683,1661.488063015618,1691.3643939100177,1715.7735336237736,1731.59538168371,1742.5045492481295,1752.7874310216323,1764.5516421105426,1780.569858599972,1797.4406696561998,1818.6445711570373,1840.8302230742634,1863.607056929455,1882.6524779721915,1893.9931071073647,1897.6400695016391,1894.5184754177506,1888.5723510683497,1885.2536353466344,1886.4716426388336,1892.6077074821649,1903.326036223664,1915.6189610482452,1929.3929790644177,1940.1480401103959,1950.4298635183504,1956.8179522811827,1959.6370505247169,1957.4922483919872,1952.6622956123917,1949.1348289264204,1951.6342619272716,1959.4631184602742
394913,1,"New York, NY",msa,NY,2286.9183201876376,2302.474952333951,2320.2811304961206,2342.178320630665,2357.4845759191267,2375.066502875574,2386.382354351133,2396.322741228051,2399.2588695902964,2395.9886599782662,2387.3812626431372,2377.7052124872275,2374.991672588993,2378.2690389019685,2386.295794497838,2400.232200256398,2417.3767434688298,2434.9296824608673,2446.3820839027353,2450.3107440930553,2449.447058356097,2442.011526786632,2433.200876884396,2416.7851660058154,2414.3293361443084,2415.4731670849574,2430.447139305734,2442.40044083831,2460.7430620593204,2476.054464365228,2486.7649007320147,2488.8244778757853,2486.9542855510263,2473.591079816091,2458.6781328935863,2444.7434372484468,2442.2975882398173,2449.403950268058,2462.342629136483,2482.709218694392,2500.8608783410573,2518.645191044577,2530.756345152486,2539.7628675145183,2540.0857010030827,2530.899770779997,2519.3700808961976,2508.9705204307807,2508.593765538829,2517.6644452172204,2532.4112223443844,2549.698437262329,2570.1538172743626,2592.5093744502565,2607.667248188556,2614.875536792669,2612.6080756698075,2608.208126035183,2595.9410071427083,2588.687693378232,2587.919720767783,2601.126325378963,2610.8316311476888,2604.413192467295,2587.414038684435,2564.011192990314,2539.2248848942827,,,2396.637591947152,2366.8514523763274,2352.7137284142414,2348.5924808993486,2358.4496550422537,2381.408240293988,2411.9527592264826,2457.0661661472573,2512.3211775798086,2575.322686776275,2636.4434339383347,2686.8653818157954,2719.3882417596915,2741.700320728737,2760.239785183157,2784.965699777767,2819.00538666318,2858.4884374392714,2901.7585711006996,2954.266389541434,3010.7038741471274,3060.793394229653,3088.831768234309,3090.9771790541126,3072.546821529487,3041.641171993493,3020.1304026030166,3015.525857280541,3027.6688273739433,3052.0652695153385,3086.4479839999935,3125.37481603066,3160.82543350013,3184.772858297693,3194.014301699745,3192.6322236392293,3176.4007308164896,3153.898283990313,3135.7450999700554,3139.3004806429544,3157.645790211484
753899,2,"Los Angeles, CA",msa,CA,1833.2128308607282,1845.583161890185,1860.3988256614682,1873.7697504034932,1888.094971859853,1899.7708109077353,1913.4468204088894,1923.7689344526073,1933.2990290235978,1938.7983242061343,1943.7892798584658,1950.6173127669424,1960.608898775151,1972.9822656060755,1984.5602281777,1996.0742353628798,2009.207512510726,2021.9598097468868,2030.5611694193544,2035.1017885137414,2039.4637632165866,2038.2379060000787,2038.3792169208607,2037.061682983917,2057.224198519697,2077.169297643495,2103.4229761112224,2116.594365686471,2130.0362491259907,2139.228809371742,2147.9207578448663,2153.8289428160238,2158.610509446032,2159.778176627623,2164.2155667074862,2168.9343487882684,2179.817596300086,2191.16691339378,2202.7088013691355,2213.6658620672933,2222.362394581742,2233.964803147406,2243.4236785794988,2252.7004235918375,2257.4633998792083,2262.1933688595873,2268.3715496460386,2273.856262485605,2279.2819029036286,2283.1607502004713,2294.7020757686464,2305.0462476478283,2317.0160598136204,2325.9176975977607,2334.4915437845066,2340.9489972317583,2345.137763037119,2346.9208913795737,2350.0055618937167,2353.33337754633,2361.897643051724,2366.5069104189834,2366.9430694532225,2353.4631873518383,2341.705241104809,2334.1153992536983,2335.904167537533,2336.69767068233,2337.7399913750282,2339.8241514951837,2344.2083404768982,2344.922391018452,2348.1969227922236,2353.5800701979883,2366.3361679320315,2380.8590742044817,2402.503681363339,2438.1658768887364,2485.590658215337,2539.5026583740673,2580.3938814044427,2609.3814380149706,2624.9607073033567,2644.5059339952477,2663.4736924767803,2689.3513789331832,2714.332854095542,2743.7806287315043,2772.677212677824,2797.58075427247,2819.4286230286843,2834.9867228423186,2841.4671765338658,2836.920195128803,2827.880133843553,2821.5412941540344,2818.7890128886556,2825.1479315103666,2836.930756155136,2852.6841797047227,2862.8093124061616,2873.3423119768613,2887.097665775649,2899.646080262023,2903.100905078631,2899.232440843698,2886.09968187601,2876.5298037904304,2880.165655690797,2891.257495609219
394463,3,"Chicago, IL",msa,IL,1418.891000513833,1426.1118142054652,1436.7606490899968,1446.453041723371,1457.8278462998258,1466.4578178433196,1471.45295791113,1473.2813106722351,1468.2210399870623,1461.3884704280747,1455.6768198706345,1455.8266073285204,1463.9174537781312,1472.3417277525004,1484.2623932173187,1492.4174281237483,1503.005715299814,1512.5877544357825,1519.4285652291314,1522.9347242570439,1515.8616092858545,1502.708212979941,1486.0519997077574,1475.6467017553628,1484.6690854433184,1501.4607590033825,1523.2045777798653,1534.649556830275,1546.1353235673205,1551.8999289536828,1553.6703248083725,1548.721649466489,1542.0519258513455,1531.4965747452707,1524.8160096516542,1523.4243504952194,1531.5232347344977,1543.2758686396112,1555.8374404881308,1567.3986124955895,1577.1992731284092,1586.0332383220534,1589.789519407737,1586.8351423116276,1576.5590056539888,1565.5007614251756,1559.7989296694639,1560.9529327604553,1570.0271469246684,1580.2092511227843,1595.4500023305716,1608.5360478363236,1620.3492943080578,1627.725062436172,1630.5353350923538,1630.900399395705,1626.2865567911924,1619.2576196112598,1611.73759197943,1607.0871536926923,1616.2309127310646,1628.337677690243,1642.7189619355318,1643.440206076597,1641.9748711218265,1638.6142377980655,1637.6020052990855,1631.490723817995,1617.2651991265327,1597.5470268205768,1582.659662706799,1574.383309501421,1573.3286753272246,1580.2250188601995,1598.2472423488634,1625.6671135935817,1653.879998895376,1677.9028550889157,1696.8537533378917,1709.8621391627382,1717.379072383572,1718.0213950730717,1718.8603040730513,1725.4425188632317,1739.52181272498,1756.9508398008422,1777.2707155001494,1800.1232144754645,1824.8932128422452,1844.6412403781223,1861.787645829317,1869.2530801370206,1871.9461497375887,1869.805483714772,1864.6779065634396,1865.2619515319536,1871.407105747368,1884.8019550853553,1900.604509116987,1917.8413497322226,1940.668193590115,1960.5765489174878,1973.1904066821571,1980.0088100766993,1977.6750670896326,1969.8794305773197,1962.1197474244377,1965.4327250644853,1976.6679538884216,1991.3891942256178
394514,4,"Dallas, TX",msa,TX,1104.5529968837823,1110.0270980423531,1118.0980823241616,1128.96886837765,1138.9091493665296,1147.300068881785,1154.608733240849,1157.605654705896,1158.6586154799181,1158.396679263673,1160.5462968321428,1163.3727830496975,1165.1617204908696,1170.3680539751228,1179.2720593861502,1190.2822044015732,1198.499080142172,1204.585818000203,1208.5329618868193,1210.703219587143,1209.5000946352172,1207.7643559463859,1207.9935365005138,1209.024246664067,1217.5264877341215,1224.732515100275,1237.7893616069375,1245.7286427097413,1258.034108694448,1264.1611393778821,1269.3514368216197,1270.7014379754505,1270.2334711991032,1268.6146857335327,1269.955525840799,1270.8619312685662,1275.4578707421094,1281.7373197146069,1289.4611719338834,1296.9736253263534,1301.723850687615,1309.7257452424983,1313.5443266426566,1315.8544853293024,1313.3426350491327,1315.4937536734535,1315.5649291734678,1317.8638298673143,1320.0231122825992,1325.342996330985,1336.3140114524574,1345.9128299593242,1354.6137289110907,1361.1889543601158,1364.751985998118,1367.5177687718265,1367.207068563785,1367.2759565519923,1364.5996392812956,1361.3305043484422,1362.657392529822,1369.3358625447675,1377.5690393390296,1378.7671420852216,1377.2850699784838,1378.2889512198235,1382.6156189181136,1387.804955753512,1390.703880904722,1395.389418932659,1399.1490039969444,1403.4479351473885,1405.3084138642298,1410.4086643148794,1419.9915331659477,1440.900315454467,1469.70490244529,1503.801009602782,1538.2500269265404,1569.6005947233386,1593.9231137683641,1609.3288869982032,1621.6715191971557,1631.6458409684233,1643.6067035733047,1655.8918680690938,1669.4168973884236,1690.0431096643165,1714.1284995571068,1743.9153993832786,1764.7405075931279,1772.615730393747,1768.4673336091175,1756.9221391785175,1746.5314923096846,1737.0261664470788,1735.3754680885145,1738.274568032389,1747.950055862033,1753.6196191447964,1762.258214314155,1769.724573394995,1778.5464305226267,1780.568826539796,1776.9998944330976,1770.1386777708685,1763.9149750988124,1755.2264819626935,1750.3077155859844,1747.3371414883168
394692,5,"Houston, TX",msa,TX,1226.598135605548,1231.0383807914673,1237.9688248658356,1249.8165023757476,1259.4166058646106,1268.5212096080083,1270.8037853548049,1271.1714858803814,1266.3928575970376,1261.8797291929932,1258.225016942675,1256.8772556767556,1258.1090786437296,1259.7969543186405,1265.3674871324674,1270.1499042165647,1273.9382659164035,1273.7480486748718,1271.4087649558498,1266.4805544661947,1259.0464669789537,1248.5330632549033,1238.5044388732667,1232.8303326422372,1241.845871020128,1255.585399196412,1270.0987685543957,1274.289664297514,1282.2805631355138,1284.0597508570104,1284.926026511657,1279.9920382707598,1287.1835432240514,1295.1671894225415,1305.916672967347,1312.2637117469078,1315.2021036570322,1321.0484063801923,1321.614717934846,1329.1532031923593,1331.1202470080013,1337.0955084600423,1336.9520476476475,1336.0208256128067,1331.5651073063234,1330.3078126541554,1332.2625720653286,1332.809582278673,1335.2899841397966,1334.9036652037764,1341.1437755886682,1345.8811421117075,1354.4935717329026,1360.8354510100878,1364.2712519924728,1363.4059477022656,1360.3173239694681,1359.9234740598067,1360.3974460561387,1364.1002158622123,1366.9877085984401,1373.4545449844345,1378.6012782806058,1375.590066405222,1368.6400270781432,1363.0079014134749,1367.2559176609786,1372.2964110381863,1373.7132049105235,1376.312836422058,1379.7265439840205,1381.2664002770114,1380.8611793340765,1377.1395587256493,1383.3247509413015,1396.0642772426856,1419.7011147031974,1447.4085728765085,1473.614048806774,1496.6620399209392,1510.0924054558093,1518.4938691047248,1523.0587648231867,1528.0524671575463,1535.1886553759243,1544.3743133622736,1554.2160396483998,1566.8426410576644,1579.8110003944118,1595.6917956379377,1606.7984963212803,1613.5966237712664,1610.3705316480691,1606.9573053466852,1602.3407003560171,1600.7451912212996,1604.5647978353973,1611.3941144119724,1622.1193621972118,1628.497630398117,1638.8757719263585,1648.0364079335711,1656.0165383481954,1657.7386328529055,1655.3751955473638,1650.0840308451359,1644.6563022707744,1643.1289466932008,1645.0023650071653,1649.209253998196
395209,6,"Washington, DC",msa,VA,1704.757792367926,1711.2993287685974,1722.4948612422188,1730.6164457635134,1740.1540758497308,1746.7962792338128,1750.3616062085423,1747.964926666375,1747.2572035071382,1743.3670465034022,1742.9444135814724,1738.4307289883432,1740.5439703543457,1744.5976052874742,1751.7098083283133,1760.2740247424197,1769.9094602605974,1778.1692109197486,1781.6352718701287,1781.2481320439563,1778.0546882110705,1768.3137260064582,1762.340788974393,1756.1194107206645,1764.6945651761428,1776.9935712786819,1792.8774080383014,1803.7020654502226,1809.6141838155795,1816.52816189582,1819.7560258491344,1819.1267748482526,1816.8727116476664,1811.6813445331377,1806.4879517706227,1802.88465808481,1806.7214866101328,1813.2030107659816,1825.4469830785886,1836.9743578643502,1848.2151706306422,1856.3493767250718,1861.5062501949155,1865.019985888408,1860.6284274711495,1857.0321454064563,1857.7868861243778,1861.791425396618,1866.9361638294329,1873.3318337047333,1882.987464136877,1893.6709959042355,1903.8448208699685,1913.1658039981019,1918.6870259096386,1920.7930556769363,1920.29592555618,1914.7865205623425,1908.9834544834134,1909.8189152202049,1919.203519818655,1928.0304585075223,1937.2934779962734,1935.3379300266922,1932.8124015486017,1926.0627549882201,1924.2364167688236,1920.5791609846137,1910.1062853951014,1895.5366086048678,1878.2757255978242,1863.5120972909122,1859.7084936358322,1863.9044372052936,1874.6540345928397,1892.712048214463,1921.082866797587,1958.9928946084779,1995.593934597497,2026.2804835354657,2045.841179857316,2055.7758228830967,2056.16211583231,2056.7265800046152,2058.8731203263587,2070.679413537096,2088.7069949780152,2113.7352743034508,2139.901890248886,2165.299178486161,2189.0497991890325,2199.721970804559,2200.3617636740732,2185.4505218874397,2169.3235760766997,2156.2284672256524,2154.138610487917,2163.2681232963787,2179.2727304240866,2197.891716494518,2218.164822833131,2236.5508002715333,2252.877017399935,2263.757508450407,2268.4729107703934,2266.8973529054015,2261.4329799881307,2254.376837073575,2258.0187973641996,2272.513904938996
394974,7,"Philadelphia, PA",msa,PA,1247.6469144310606,1254.4775438598865,1267.5204388736038,1274.906633116198,1281.4264483611862,1283.2622794002152,1285.1690735362556,1285.7182987671827,1285.538982565231,1284.621886472603,1280.5304872326096,1275.6208605738273,1275.9505739104407,1285.1525821960422,1296.9560969835843,1308.3944290789118,1315.551812624303,1321.9070812343346,1322.2359178012912,1321.4169880247123,1317.6260117057404,1312.5643860766602,1314.5788632983429,1314.1908882642933,1321.5195149752835,1325.2212420215997,1337.5987806684095,1345.053711842543,1351.02245288873,1351.4369287480615,1352.2975211858811,1353.1519640033637,1353.1995027732255,1351.669920713367,1350.1749029909977,1352.7943210352757,1356.7495294101734,1364.7507895754902,1375.1308618940511,1384.9907951031676,1393.290746363546,1397.2732848415678,1398.472787547052,1397.423956699077,1396.0782625602876,1397.623173144334,1400.3991155334077,1399.9795794834292,1403.9350871307008,1411.3885688277626,1425.0568981529784,1435.4378708307136,1441.9624615735477,1449.060820893991,1452.9907014130185,1453.345537503157,1450.032826665771,1449.9237927042634,1451.4063236827064,1455.2492497807186,1457.8763025770793,1467.2735808209236,1476.5412808686262,1480.181021701809,1479.514221873082,1480.2237563580838,1485.3328207077914,1484.9634628799843,1484.7469840113724,1486.8673386897576,1491.838163868824,1494.2814242985003,1494.3903750337013,1498.8021181239355,1507.5012520756677,1524.8898126467773,1545.0016133929696,1565.8426783744612,1584.36179397275,1602.3790937307704,1616.4313563726305,1627.4479988894366,1636.3185029511098,1648.6149777552328,1659.5466620709744,1671.3202476509102,1680.5146189379059,1693.7782901678681,1707.4285437896579,1722.2921760394058,1734.8928579201954,1741.6378027452108,1746.1308432395908,1742.1432561913261,1740.7659182040861,1736.4649631929653,1739.7886907539344,1740.0383803250552,1747.8986742729783,1755.8159532665752,1768.2982961133623,1773.6993362069181,1782.0983344533554,1790.473385979744,1803.149409328578,1809.2718064443186,1810.1065900684218,1804.5346470593531,1804.6749644744273,1811.3433108390154
394856,8,"Miami, FL",msa,FL,1502.146193204759,1509.029549929284,1514.8014420589648,1521.5020377921553,1530.883510565378,1540.3178021734054,1549.452152292464,1556.927197636046,1568.1020028551975,1576.6649896855401,1584.9127235998985,1587.7764510714153,1591.8044294495598,1592.9339801494225,1595.4758622106388,1597.7218135130727,1599.6122950251872,1600.1128905145706,1600.6414951913227,1603.291113928507,1608.7475831845165,1610.5479077638722,1613.8043685926027,1611.713516037426,1616.5665328442508,1618.787492916264,1626.3345382724103,1628.026704419427,1631.03802064202,1634.86056798594,1642.0591742828997,1648.9560320206533,1654.9654505410047,1660.3622757001099,1662.7106608621998,1664.0861422362843,1665.174448796246,1668.2763169349564,1672.6348205384352,1676.8996856066144,1680.9979595179868,1686.27530390763,1692.8562434914502,1699.691375919902,1705.2058878983464,1711.374835465786,1717.721199013161,1723.273158036423,1723.6660743539678,1723.7257425216967,1724.0174066593625,1727.2524024101176,1730.438048160496,1735.2765118139043,1740.7103719014515,1746.7791993587891,1752.922179014138,1762.1835060755334,1772.0987489181632,1780.044364139177,1782.4307515075088,1785.0800693007893,1784.8738935299418,1778.3772367819793,1768.744841008846,1767.4821708713182,1772.8512949088472,1779.0811838152717,1784.2685609509335,1798.5888725986897,1818.035575063252,1834.831517859344,1851.2142331474195,1873.2225848816574,1900.7047315767466,1932.3809096288967,1974.987170409349,,,2167.8939542053,2226.854278298409,2275.818289468979,2322.039848914405,2370.54875237089,2416.117811990251,2451.9146586220836,2494.481872139724,2533.332261227036,2573.2330244933046,2595.668806018622,2616.4805481006556,2624.6924102341254,2632.206773243259,2637.9692129895748,2646.1001445614115,2650.6391202229934,2648.619172029502,2650.2170530280105,2655.9332349431784,2665.6732018196517,2675.90451520653,2686.296778674102,2694.570465928938,2700.0473981897107,2705.1488930856253,2715.4871948490486,2721.1023448287197,2715.8599321986812,2712.945999433374,2717.6059477295726
394347,9,"Atlanta, GA",msa,GA,1057.013776113723,1062.65341940342,1066.2426471645288,1077.1459906218772,1084.7114679958595,1096.0603769096524,1102.9579759019377,1107.4748245176502,1108.8804766061721,1107.7439591604516,1108.2981985227545,1111.5616981115309,1116.7154955946164,1124.0177730843639,1132.2078625258835,1140.9567022910592,1149.9660616051658,1157.74936093156,1165.4011483522754,1169.5527575446972,1170.8764168634211,1169.4923414572636,1169.029269264359,1170.6939497942726,1176.29512324425,1186.127222258543,1198.316897474317,1210.4220746182832,1221.9738365722617,1232.3496047881738,1241.2484904587327,1245.642875374306,1247.5041259462741,1245.3655601138032,1245.9933805136204,1248.0005703163529,1255.130317818242,1263.7784324798658,1274.9197200633994,1287.1275107118101,1299.17781897455,1308.459368481751,1314.0180190384979,1316.3977326608574,1317.3788332959293,1322.735152773885,1328.0051343617486,1332.7782168676058,1338.1270553199834,1346.315033991378,1359.502747776006,1371.2274118909438,1381.7680177806644,1390.1115764722283,1395.266536234089,1399.6912853531192,1402.858130362401,1402.7062341347919,1400.3718755194159,1399.7016769194893,1403.9640817705085,1412.9937022990662,1421.4392244521514,1425.3279239213387,1428.6785057496422,1435.5975177488285,1449.944971848612,1463.6863752881902,1474.6626112270658,1483.0804868036846,1490.2633882639004,1497.6768352677357,1508.5330759646727,1524.6443135056834,1543.8905327863627,1568.627711904224,1599.4718360841832,1641.2872454835594,1683.8170164973587,1728.0145886991681,1757.2045499578412,1779.1381900253912,1786.738416174487,1792.9833690179287,1797.7081236826298,1805.6687030775734,1819.1729473450864,1834.3958738834463,1855.664871823603,1878.2215012537094,1902.3274211956682,1914.2074347054258,1918.0937084653592,1910.314529244711,1900.9831288823607,1894.677218582389,1892.4552477328773,1898.160124001733,1906.9291845895784,1918.03213078016,1924.9829731538116,1926.0069343814798,1927.8720615958068,1928.714517395523,1929.490818413346,1921.5017992599073,1908.8095243344642,1898.3268225058107,1900.1402783156645,1908.9974157112638
